layer_id,source,target,advice
1,1,87,1
1,1,90,1
1,1,110,1
1,2,11,1
1,2,55,1
1,2,98,1
1,3,20,1
1,3,29,1
1,3,37,1
1,4,33,1
1,4,94,1
1,4,103,1
1,5,52,1
1,5,56,1
1,5,61,1
1,6,29,1
1,6,31,1
1,6,43,1
1,7,23,1
1,7,94,1
1,7,106,1
1,8,36,1
1,8,55,1
1,8,111,1
1,9,3,1
1,9,23,1
1,9,29,1
1,10,5,1
1,10,56,1
1,11,36,1
1,12,31,1
1,12,41,1
1,12,42,1
1,13,20,1
1,13,37,1
1,13,82,1
1,14,3,1
1,14,29,1
1,14,57,1
1,15,29,1
1,16,29,1
1,16,98,1
1,17,11,1
1,17,36,1
1,17,48,1
1,18,49,1
1,18,82,1
1,18,83,1
1,19,36,1
1,19,96,1
1,20,29,1
1,20,37,1
1,20,46,1
1,21,77,1
1,22,23,1
1,22,55,1
1,22,66,1
1,23,22,1
1,23,27,1
1,23,77,1
1,24,29,1
1,24,94,1
1,24,95,1
1,25,26,1
1,25,29,1
1,25,54,1
1,26,11,1
1,26,32,1
1,26,42,1
1,27,92,1
1,27,101,1
1,28,90,1
1,28,98,1
1,28,116,1
1,29,41,1
1,29,46,1
1,29,100,1
1,30,27,1
1,30,90,1
1,31,29,1
1,32,29,1
1,32,55,1
1,32,109,1
1,33,29,1
1,33,31,1
1,33,94,1
1,34,22,1
1,34,103,1
1,35,3,1
1,35,45,1
1,35,46,1
1,36,11,1
1,36,29,1
1,36,94,1
1,37,13,1
1,37,20,1
1,37,46,1
1,38,4,1
1,38,7,1
1,38,106,1
1,39,29,1
1,39,41,1
1,40,44,1
1,40,46,1
1,40,100,1
1,41,36,1
1,42,45,1
1,42,101,1
1,42,102,1
1,44,3,1
1,44,23,1
1,44,31,1
1,45,42,1
1,45,101,1
1,46,43,1
1,46,81,1
1,46,111,1
1,47,46,1
1,48,55,1
1,48,100,1
1,49,56,1
1,50,83,1
1,50,95,1
1,51,40,1
1,51,100,1
1,52,37,1
1,52,98,1
1,52,100,1
1,53,36,1
1,53,55,1
1,53,83,1
1,54,56,1
1,55,11,1
1,55,28,1
1,55,41,1
1,56,31,1
1,56,68,1
1,56,94,1
1,57,29,1
1,57,31,1
1,57,46,1
1,58,11,1
1,58,83,1
1,58,111,1
1,59,45,1
1,59,101,1
1,60,3,1
1,60,45,1
1,60,81,1
1,61,67,1
1,61,83,1
1,61,110,1
1,62,102,1
1,63,104,1
1,63,111,1
1,64,46,1
1,64,55,1
1,64,100,1
1,65,51,1
1,65,52,1
1,66,28,1
1,66,55,1
1,66,95,1
1,67,87,1
1,67,93,1
1,67,110,1
1,68,87,1
1,68,89,1
1,68,104,1
1,69,43,1
1,69,103,1
1,73,57,1
1,75,29,1
1,75,94,1
1,76,11,1
1,76,27,1
1,76,36,1
1,77,22,1
1,77,23,1
1,77,27,1
1,78,1,1
1,78,22,1
1,78,27,1
1,79,18,1
1,79,29,1
1,79,31,1
1,80,29,1
1,80,36,1
1,80,94,1
1,83,11,1
1,83,61,1
1,83,93,1
1,85,46,1
1,86,23,1
1,86,40,1
1,86,98,1
1,87,110,1
1,89,20,1
1,90,87,1
1,90,109,1
1,90,110,1
1,91,23,1
1,91,40,1
1,91,46,1
1,92,55,1
1,92,90,1
1,92,104,1
1,93,97,1
1,94,36,1
1,94,70,1
1,95,28,1
1,95,36,1
1,96,19,1
1,96,36,1
1,96,41,1
1,97,40,1
1,97,53,1
1,97,70,1
1,98,11,1
1,98,29,1
1,98,36,1
1,99,29,1
1,99,52,1
1,99,94,1
1,101,45,1
1,101,46,1
1,101,98,1
1,102,42,1
1,102,45,1
1,102,101,1
1,103,43,1
1,103,116,1
1,104,111,1
1,106,70,1
1,106,83,1
1,106,94,1
1,107,4,1
1,107,38,1
1,107,106,1
1,108,36,1
1,108,53,1
1,108,55,1
1,118,141,1
1,118,161,1
1,119,121,1
1,119,123,1
1,119,163,1
1,120,122,1
1,120,145,1
1,120,147,1
1,121,119,1
1,121,123,1
1,121,163,1
1,122,126,1
1,122,141,1
1,122,147,1
1,123,122,1
1,123,141,1
1,123,152,1
1,124,125,1
1,124,128,1
1,124,141,1
1,125,122,1
1,125,144,1
1,125,151,1
1,126,129,1
1,127,118,1
1,127,122,1
1,127,152,1
1,128,132,1
1,128,163,1
1,129,126,1
1,129,140,1
1,129,141,1
1,130,122,1
1,130,145,1
1,130,152,1
1,131,122,1
1,131,141,1
1,131,150,1
1,132,122,1
1,132,128,1
1,132,141,1
1,133,122,1
1,133,145,1
1,133,148,1
1,134,153,1
1,135,122,1
1,135,141,1
1,135,153,1
1,136,122,1
1,136,150,1
1,136,160,1
1,137,122,1
1,137,153,1
1,139,122,1
1,139,140,1
1,139,152,1
1,140,122,1
1,140,139,1
1,140,152,1
1,141,122,1
1,141,127,1
1,141,147,1
1,142,119,1
1,142,121,1
1,142,163,1
1,143,140,1
1,143,147,1
1,143,153,1
1,144,143,1
1,144,145,1
1,144,147,1
1,145,122,1
1,145,152,1
1,145,153,1
1,146,122,1
1,146,141,1
1,146,163,1
1,147,122,1
1,147,135,1
1,147,152,1
1,148,166,1
1,149,120,1
1,149,122,1
1,149,141,1
1,150,122,1
1,150,135,1
1,150,141,1
1,156,135,1
1,156,145,1
1,156,148,1
1,159,150,1
1,160,122,1
1,160,152,1
1,160,153,1
1,168,175,1
1,168,176,1
1,168,182,1
1,169,175,1
1,169,182,1
1,170,175,1
1,171,207,1
1,171,208,1
1,172,182,1
1,172,185,1
1,172,210,1
1,173,180,1
1,173,181,1
1,173,185,1
1,174,176,1
1,174,191,1
1,174,206,1
1,175,170,1
1,175,182,1
1,176,191,1
1,176,194,1
1,176,198,1
1,177,168,1
1,177,189,1
1,177,190,1
1,178,198,1
1,179,175,1
1,179,190,1
1,179,192,1
1,180,181,1
1,180,183,1
1,180,188,1
1,181,209,1
1,181,210,1
1,182,168,1
1,182,175,1
1,182,191,1
1,183,185,1
1,183,187,1
1,183,210,1
1,184,190,1
1,184,191,1
1,184,194,1
1,185,187,1
1,185,210,1
1,186,176,1
1,186,191,1
1,186,198,1
1,187,185,1
1,187,208,1
1,187,209,1
1,188,209,1
1,188,210,1
1,189,168,1
1,189,177,1
1,190,176,1
1,190,207,1
1,190,209,1
1,191,176,1
1,191,198,1
1,191,207,1
1,193,192,1
1,193,194,1
1,194,173,1
1,194,192,1
1,194,193,1
1,197,190,1
1,197,191,1
1,197,194,1
1,204,207,1
1,212,216,1
1,212,217,1
1,213,217,1
1,213,231,1
1,213,237,1
1,214,217,1
1,214,224,1
1,214,244,1
1,215,231,1
1,215,232,1
1,215,234,1
1,216,217,1
1,216,231,1
1,216,237,1
1,217,216,1
1,217,233,1
1,217,234,1
1,218,216,1
1,218,217,1
1,218,235,1
1,219,216,1
1,219,231,1
1,219,237,1
1,220,229,1
1,220,237,1
1,220,240,1
1,221,231,1
1,221,237,1
1,221,239,1
1,222,242,1
1,222,245,1
1,223,222,1
1,223,229,1
1,223,240,1
1,224,214,1
1,224,244,1
1,225,217,1
1,225,232,1
1,225,234,1
1,226,216,1
1,226,231,1
1,226,237,1
1,227,229,1
1,227,240,1
1,227,245,1
1,228,240,1
1,228,245,1
1,229,216,1
1,229,221,1
1,229,243,1
1,231,216,1
1,231,217,1
1,232,231,1
1,232,237,1
1,234,231,1
1,234,237,1
1,234,240,1
1,235,218,1
1,235,232,1
1,235,233,1
1,236,238,1
1,237,216,1
1,237,221,1
1,237,231,1
1,238,242,1
1,239,216,1
1,239,217,1
1,240,245,1
1,242,217,1
1,242,236,1
1,242,238,1
1,243,218,1
1,243,230,1
1,243,237,1